Time,People_Count,Status
2026-02-02 09:58:41.546507,1,SAFE
2026-02-02 09:58:41.882115,0,SAFE
2026-02-02 09:58:49.150961,0,SAFE
2026-02-02 09:58:55.714789,0,SAFE
2026-02-02 09:59:02.497234,0,SAFE
2026-02-02 09:59:09.321135,0,SAFE
2026-02-02 09:59:16.575296,1,SAFE
2026-02-02 09:59:25.055301,1,SAFE
2026-02-02 09:59:26.498482,0,SAFE
2026-02-02 09:59:36.600104,1,SAFE
2026-02-02 09:59:40.990866,1,SAFE
2026-02-02 10:00:05.367674,1,SAFE
2026-02-02 10:00:05.402220,0,SAFE
2026-02-02 10:00:06.406418,1,SAFE
2026-02-02 10:00:07.045343,1,SAFE
2026-02-02 10:00:08.224068,1,SAFE
2026-02-02 10:00:12.348776,2,SAFE
2026-02-02 10:00:34.412556,2,SAFE
2026-02-02 10:00:35.067036,1,SAFE
2026-02-02 10:00:36.159299,0,SAFE
2026-02-02 10:00:36.530983,2,SAFE
2026-02-02 10:00:38.008426,2,SAFE
2026-02-02 10:00:41.235691,2,SAFE
2026-02-02 10:01:03.908689,0,SAFE
2026-02-02 10:01:05.179387,0,SAFE
2026-02-02 10:01:05.420027,0,SAFE
2026-02-02 10:01:06.131770,0,SAFE
2026-02-02 10:01:06.572129,0,SAFE
2026-02-02 10:01:09.553875,0,SAFE
2026-02-02 10:01:33.948179,0,SAFE
2026-02-02 10:01:36.151748,0,SAFE
2026-02-02 10:01:36.640062,0,SAFE
2026-02-02 10:01:37.136167,0,SAFE
2026-02-02 10:01:37.504256,0,SAFE
2026-02-02 10:01:40.189396,1,SAFE
2026-02-02 10:01:55.101846,0,SAFE
2026-02-02 10:01:55.960600,0,SAFE
2026-02-02 10:01:56.463786,0,SAFE
2026-02-02 10:01:56.827103,0,SAFE
2026-02-02 10:02:04.102351,0,SAFE
2026-02-02 10:02:10.002959,0,SAFE
2026-02-02 10:02:14.011464,0,SAFE
2026-02-02 10:02:20.070300,2,SAFE
2026-02-02 10:02:24.344435,0,SAFE
2026-02-02 10:02:31.986554,0,SAFE
2026-02-02 10:02:37.167583,0,SAFE
2026-02-02 10:02:45.171436,0,SAFE
2026-02-02 10:02:50.395569,0,SAFE
2026-02-02 10:02:53.034928,0,SAFE
2026-02-02 10:09:24.545814,1,SAFE
2026-02-02 10:09:31.883676,1,SAFE
2026-02-02 10:09:38.930670,1,SAFE
2026-02-02 10:09:45.839269,0,SAFE
2026-02-02 10:09:53.135092,1,SAFE
2026-02-02 10:10:00.499758,0,SAFE
2026-02-02 10:10:07.714749,1,SAFE
2026-02-02 10:10:17.703222,1,SAFE
2026-02-02 10:10:19.090607,1,SAFE
2026-02-02 10:10:27.855769,0,SAFE
2026-02-02 10:10:30.349816,1,SAFE
